PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,470,4,2,5,5,300,1,1,1,300,400,475,2
400,500,475,515,5,3,2,4,2,400,475,470,1,450,1,1
500,450,525,485,1,5,1,1,1,500,500,2,2,1,500,530
600,550,550,530,2,1,4,3,600,600,2,485,500,2,525,485
700,600,500,500,3,4,3,2,700,2,525,530,700,600,2,470
