PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,485,4,3,5,5,300,1,1,1,300,400,1,2
400,450,500,500,5,2,2,4,2,400,525,470,1,2,2,1
500,500,475,470,1,4,1,1,1,2,500,2,500,450,475,530
600,550,525,530,2,5,3,2,600,500,475,485,2,1,500,485
700,600,550,515,3,1,4,3,700,600,2,530,700,600,525,470
