PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,470,4,2,5,4,300,1,475,470,300,400,1,1
400,450,475,485,5,3,1,3,2,400,1,485,1,450,475,470
500,500,500,515,1,4,2,2,1,2,525,2,500,2,500,485
600,550,525,500,2,1,3,5,600,500,500,530,2,1,525,2
700,600,550,530,3,5,4,1,700,600,2,1,700,600,2,530
