PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,470,4,2,5,5,2,400,1,485,300,400,1,485
400,450,475,515,5,5,2,4,300,1,475,2,1,1,2,2
500,500,500,485,1,3,1,1,1,500,500,530,600,450,475,1
600,550,550,530,2,4,4,3,600,2,2,1,2,2,500,470
700,600,525,500,3,1,3,2,700,600,525,470,700,600,525,530
