PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,500,4,2,1,1,300,400,1,485,1,400,1,1
400,450,475,470,5,3,2,4,1,1,2,2,300,450,2,485
500,500,500,515,1,5,3,2,2,500,500,470,500,2,475,470
600,550,525,485,2,4,5,5,700,2,475,1,2,1,500,2
700,600,550,530,3,1,4,3,600,600,525,530,700,600,525,530
