PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,475,470,4,2,5,5,300,400,475,485,300,400,1,470
400,450,450,485,5,3,2,3,2,500,1,2,500,1,525,485
500,500,500,515,1,5,1,2,1,600,500,530,1,450,2,1
600,550,550,500,2,4,4,4,600,1,2,1,2,2,500,530
700,600,525,530,3,1,3,1,700,2,525,470,700,600,475,2
