300,400,450,470,4,2,5,4,300,400,1,470,300,400,1,470
400,450,475,485,5,3,1,3,2,1,475,485,1,450,475,485
500,500,500,500,1,5,2,5,1,500,500,1,500,2,500,1
600,550,525,515,2,4,3,2,600,2,525,2,2,1,525,2
700,600,550,530,3,1,4,1,700,600,2,530,700,600,2,530
