PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,500,4,2,1,4,300,1,1,470,300,400,475,470
400,450,475,470,5,3,2,3,2,2,475,1,1,450,1,485
500,500,500,515,1,5,5,2,1,400,500,485,500,2,500,1
600,550,550,485,2,4,3,5,600,500,525,2,2,1,525,2
700,600,525,530,3,1,4,1,700,600,2,530,700,600,2,530
