PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,470,4,2,5,3,300,400,475,1,300,400,1,1
400,450,475,485,5,3,2,2,2,1,500,470,1,450,475,470
500,500,500,515,1,5,3,1,1,500,1,2,500,2,2,485
600,550,525,500,3,4,1,5,600,2,2,485,2,1,500,2
700,600,550,530,2,1,4,4,700,600,525,530,700,600,525,530
