PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,475,485,4,2,5,5,2,1,1,470,300,400,475,470
400,450,450,500,5,3,1,3,300,2,525,485,1,2,1,485
500,500,500,470,1,5,2,4,700,400,500,2,500,450,500,1
600,600,550,515,2,4,3,2,1,500,475,530,2,1,525,530
700,550,525,530,3,1,4,1,600,600,2,1,700,600,2,2
