PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,475,470,4,3,1,4,300,1,1,485,300,400,1,470
400,450,450,500,5,2,2,3,2,400,500,470,500,450,475,1
500,500,500,515,1,5,3,5,1,600,2,1,1,1,500,485
600,550,550,485,2,4,5,2,600,500,475,2,2,2,525,2
700,600,525,530,3,1,4,1,700,2,525,530,700,600,2,530
