PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,475,470,5,3,5,2,300,1,1,470,300,400,475,470
400,450,500,500,4,2,2,3,2,400,525,485,1,450,1,1
500,500,525,485,1,5,3,4,1,2,500,2,2,2,500,530
600,550,450,530,2,4,1,1,700,500,475,530,500,1,525,485
700,600,550,515,3,1,4,5,600,600,2,1,700,600,2,2
