PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,475,485,4,2,5,4,300,1,525,485,300,400,1,470
400,500,450,470,5,3,1,2,1,400,2,2,1,450,475,485
500,450,500,515,1,4,2,3,2,2,1,470,500,2,525,1
600,550,525,530,2,1,3,1,700,500,475,1,2,1,2,530
700,600,550,500,3,5,4,5,600,600,500,530,700,600,500,2
