PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,450,450,485,4,3,5,4,300,1,525,1,300,400,1,1
400,400,475,470,5,2,1,3,2,400,2,470,1,2,475,485
500,500,500,500,1,5,2,5,1,2,1,2,500,450,500,470
600,550,525,515,2,4,4,1,600,500,475,485,2,1,2,2
700,600,550,530,3,1,3,2,700,600,500,530,700,600,525,530
