PR-100,PR-50,PR-25,PR-15,PV-100,PV-50,PV-25,PV-15,MN-100,MN-50,MN-25,MN-15,MO-100,MO-50,MO-25,MO-15
300,400,450,485,5,2,5,3,300,1,1,485,300,400,1,485
400,450,500,500,4,5,1,5,2,2,500,2,1,2,475,2
500,500,475,530,1,3,3,2,1,400,475,470,500,1,500,1
600,550,550,470,2,1,2,4,700,500,525,1,2,450,2,470
700,600,525,515,3,4,4,1,600,600,2,530,700,600,525,530
